,HorarioH,Velocidade máxima,Horário,Gênero,Região,Idade
2183,6.666666666666667,80,400,Male,Inner Regional Australia,28
2184,10.216666666666667,50,613,Female,Inner Regional Australia,26
2185,7.5,100,450,Male,Remote Australia,59
2186,14.083333333333334,50,845,Female,Major Cities of Australia,59
2187,16.0,80,960,Male,Inner Regional Australia,51
2188,19.0,60,1140,Male,Outer Regional Australia,5
2189,11.55,110,693,Male,Inner Regional Australia,47
2190,12.55,80,753,Male,Major Cities of Australia,55
2191,7.0,100,420,Male,Remote Australia,45
2192,3.3333333333333335,100,200,Male,Outer Regional Australia,27
2193,19.166666666666668,100,1150,Male,Inner Regional Australia,47
2194,11.0,100,660,Male,Outer Regional Australia,54
2195,16.116666666666667,100,967,Male,Outer Regional Australia,56
2196,0.0,50,0,Male,Inner Regional Australia,24
2197,15.0,50,900,Male,Major Cities of Australia,51
2198,14.333333333333334,80,860,Male,Inner Regional Australia,67
2199,12.75,80,765,Male,Inner Regional Australia,69
2200,8.0,100,480,Female,Inner Regional Australia,65
2201,22.266666666666666,110,1336,Male,Inner Regional Australia,25
2202,9.0,100,540,Male,Inner Regional Australia,69
2203,16.0,110,960,Male,Major Cities of Australia,72
2204,15.366666666666667,100,922,Female,Major Cities of Australia,68
2205,15.366666666666667,100,922,Male,Major Cities of Australia,69
2206,11.066666666666666,100,664,Male,Inner Regional Australia,65
2207,20.833333333333332,100,1250,Female,Inner Regional Australia,22
2208,9.1,10,546,Female,Major Cities of Australia,80
2209,22.0,60,1320,Male,Major Cities of Australia,32
2210,7.0,60,420,Female,Major Cities of Australia,78
2211,23.666666666666668,110,1420,Male,Major Cities of Australia,28
2212,2.0,60,120,Male,Major Cities of Australia,29
2213,21.1,100,1266,Female,Major Cities of Australia,64
2214,7.383333333333334,100,443,Male,Major Cities of Australia,76
2215,0.5,110,30,Male,Remote Australia,42
2216,3.0833333333333335,80,185,Male,Inner Regional Australia,20
2217,22.0,70,1320,Male,Major Cities of Australia,27
2218,14.0,50,840,Female,Inner Regional Australia,2
2219,22.333333333333332,70,1340,Male,Inner Regional Australia,31
2220,23.183333333333334,80,1391,Female,Major Cities of Australia,59
2221,10.616666666666667,100,637,Male,Inner Regional Australia,57
2222,20.833333333333332,60,1250,Male,Major Cities of Australia,78
2223,12.0,60,720,Male,Major Cities of Australia,21
2224,0.16666666666666666,50,10,Male,Inner Regional Australia,51
2225,6.75,50,405,Female,Major Cities of Australia,81
2226,17.0,60,1020,Male,Inner Regional Australia,86
2227,5.75,60,345,Male,Major Cities of Australia,36
2228,6.0,50,360,Female,Outer Regional Australia,38
2229,23.75,50,1425,Male,Inner Regional Australia,19
2230,19.8,80,1188,Female,Major Cities of Australia,19
2231,19.8,80,1188,Male,Major Cities of Australia,21
2232,21.916666666666668,100,1315,Male,Inner Regional Australia,17
2233,21.916666666666668,100,1315,Male,Inner Regional Australia,18
2234,4.0,100,240,Male,Outer Regional Australia,43
2235,20.0,100,1200,Male,Very Remote Australia,30
2236,23.5,70,1410,Female,Major Cities of Australia,25
2237,20.633333333333333,60,1238,Male,Major Cities of Australia,35
2238,20.25,110,1215,Male,Very Remote Australia,57
2239,21.566666666666666,50,1294,Male,Major Cities of Australia,68
2240,5.0,100,300,Male,Outer Regional Australia,30
2241,19.0,100,1140,Male,Inner Regional Australia,42
2242,2.466666666666667,70,148,Female,Major Cities of Australia,45
2243,22.333333333333332,110,1340,Male,Outer Regional Australia,53
2244,12.916666666666666,50,775,Female,Major Cities of Australia,32
2245,17.5,100,1050,Male,Inner Regional Australia,51
2246,15.0,100,900,Male,Inner Regional Australia,17
2247,21.0,100,1260,Male,Major Cities of Australia,19
2248,12.25,100,735,Male,Inner Regional Australia,18
2249,11.666666666666666,60,700,Male,Major Cities of Australia,55
2250,15.0,100,900,Male,Inner Regional Australia,19
2251,11.116666666666667,60,667,Female,Major Cities of Australia,22
2252,12.0,80,720,Male,Outer Regional Australia,22
2253,16.0,80,960,Male,Inner Regional Australia,24
2254,9.0,100,540,Female,Inner Regional Australia,23
2255,13.85,100,831,Female,Outer Regional Australia,24
2256,13.85,100,831,Female,Outer Regional Australia,23
2257,11.116666666666667,60,667,Male,Major Cities of Australia,33
2258,8.0,100,480,Male,Inner Regional Australia,62
2259,13.666666666666666,50,820,Male,Major Cities of Australia,46
2260,14.316666666666666,50,859,Male,Outer Regional Australia,60
2261,14.333333333333334,100,860,Male,Inner Regional Australia,47
2262,11.75,80,705,Female,Inner Regional Australia,79
2263,11.75,80,705,Male,Inner Regional Australia,80
2264,13.5,80,810,Male,Outer Regional Australia,79
2265,15.416666666666666,100,925,Male,Inner Regional Australia,39
2266,17.083333333333332,80,1025,Male,Inner Regional Australia,17
2267,13.866666666666667,60,832,Male,Major Cities of Australia,23
2269,14.666666666666666,100,880,Female,Inner Regional Australia,23
2270,19.666666666666668,100,1180,Male,Inner Regional Australia,72
2271,14.666666666666666,100,880,Male,Inner Regional Australia,39
2272,6.5,80,390,Male,Inner Regional Australia,31
2273,12.0,80,720,Male,Major Cities of Australia,19
2274,15.083333333333334,50,905,Male,Inner Regional Australia,62
2275,10.833333333333334,70,650,Male,Major Cities of Australia,55
2276,10.866666666666667,60,652,Male,Major Cities of Australia,23
2277,9.15,110,549,Male,Very Remote Australia,19
2279,16.916666666666668,80,1015,Female,Inner Regional Australia,34
2280,11.0,100,660,Male,Outer Regional Australia,34
2281,15.0,70,900,Male,Major Cities of Australia,31
2282,0.0,70,0,Male,Major Cities of Australia,19
2283,2.0,60,120,Male,Major Cities of Australia,24
2284,15.75,60,945,Male,Major Cities of Australia,43
2285,21.666666666666668,110,1300,Male,Outer Regional Australia,19
2286,10.25,50,615,Female,Inner Regional Australia,51
2287,13.0,100,780,Male,Inner Regional Australia,53
2288,13.0,110,780,Male,Remote Australia,61
2289,7.0,100,420,Female,Outer Regional Australia,62
2290,20.25,50,1215,Female,Inner Regional Australia,49
2291,6.25,110,375,Male,Very Remote Australia,43
2292,12.0,100,720,Male,Outer Regional Australia,63
2293,16.0,100,960,Female,Outer Regional Australia,62
2294,10.4,50,624,Male,Inner Regional Australia,57
2295,12.15,100,729,Male,Outer Regional Australia,65
2296,13.9,100,834,Male,Outer Regional Australia,70
2297,12.433333333333334,110,746,Male,Inner Regional Australia,72
2298,9.5,100,570,Male,Inner Regional Australia,68
2299,20.75,50,1245,Male,Major Cities of Australia,41
2300,15.5,100,930,Male,Outer Regional Australia,65
2301,12.05,80,723,Female,Outer Regional Australia,69
2302,10.75,60,645,Female,Major Cities of Australia,72
2303,16.0,100,960,Female,Outer Regional Australia,74
2304,9.0,100,540,Male,Inner Regional Australia,76
2305,8.0,60,480,Male,Major Cities of Australia,78
2306,10.283333333333333,60,617,Male,Major Cities of Australia,83
2307,4.833333333333333,100,290,Male,Outer Regional Australia,36
2308,1.3333333333333333,60,80,Male,Major Cities of Australia,41
2309,18.266666666666666,50,1096,Male,Major Cities of Australia,42
2310,11.75,110,705,Female,Outer Regional Australia,85
2311,13.166666666666666,100,790,Female,Inner Regional Australia,85
2313,11.0,80,660,Male,Inner Regional Australia,23
2314,20.033333333333335,50,1202,Male,Major Cities of Australia,52
2315,8.583333333333334,40,515,Male,Major Cities of Australia,12
2316,21.416666666666668,50,1285,Female,Major Cities of Australia,70
2317,0.0,60,0,Male,Outer Regional Australia,20
2318,10.166666666666666,50,610,Female,Major Cities of Australia,74
2319,18.0,80,1080,Male,Major Cities of Australia,38
2320,19.0,80,1140,Female,Outer Regional Australia,29
2321,19.25,110,1155,Male,Inner Regional Australia,52
2322,23.833333333333332,100,1430,Male,Very Remote Australia,34
2323,22.0,80,1320,Male,Major Cities of Australia,20
2324,18.433333333333334,50,1106,Male,Inner Regional Australia,47
2325,0.016666666666666666,90,1,Male,Inner Regional Australia,25
2326,23.0,100,1380,Male,Outer Regional Australia,24
2327,23.816666666666666,60,1429,Male,Major Cities of Australia,47
2328,21.333333333333332,80,1280,Male,Major Cities of Australia,22
2329,19.516666666666666,50,1171,Male,Major Cities of Australia,41
2330,2.8333333333333335,80,170,Male,Remote Australia,5
2331,0.03333333333333333,60,2,Female,Major Cities of Australia,22
2332,3.95,110,237,Female,Very Remote Australia,34
2333,3.0,100,180,Male,Inner Regional Australia,35
2334,18.333333333333332,110,1100,Male,Outer Regional Australia,37
2335,4.5,80,270,Male,Outer Regional Australia,20
2336,19.333333333333332,60,1160,Male,Major Cities of Australia,37
2337,5.0,60,300,Male,Inner Regional Australia,24
2338,13.0,80,780,Male,Major Cities of Australia,34
2339,17.166666666666668,110,1030,Female,Very Remote Australia,35
2340,17.166666666666668,110,1030,Female,Very Remote Australia,36
2341,16.25,80,975,Male,Major Cities of Australia,16
2342,15.95,110,957,Female,Very Remote Australia,12
2343,16.25,80,975,Female,Major Cities of Australia,18
2344,21.166666666666668,110,1270,Male,Inner Regional Australia,34
2345,6.15,60,369,Male,Major Cities of Australia,24
2346,13.5,110,810,Male,Very Remote Australia,27
2347,17.0,100,1020,Male,Remote Australia,35
2348,14.0,100,840,Female,Outer Regional Australia,26
2349,18.5,110,1110,Male,Outer Regional Australia,32
2350,15.0,70,900,Male,Inner Regional Australia,47
2351,9.0,100,540,Female,Outer Regional Australia,52
2352,13.333333333333334,110,800,Male,Inner Regional Australia,60
2353,12.166666666666666,80,730,Male,Outer Regional Australia,64
2354,10.0,60,600,Male,Major Cities of Australia,42
2355,17.733333333333334,50,1064,Male,Outer Regional Australia,44
2356,12.0,80,720,Male,Very Remote Australia,68
2357,13.75,80,825,Male,Outer Regional Australia,73
2358,16.833333333333332,50,1010,Male,Major Cities of Australia,81
2359,5.0,100,300,Male,Very Remote Australia,61
2360,15.166666666666666,110,910,Male,Inner Regional Australia,43
2361,8.0,100,480,Female,Very Remote Australia,55
2362,12.8,60,768,Female,Major Cities of Australia,9
2363,14.533333333333333,110,872,Male,Inner Regional Australia,41
2364,9.15,60,549,Male,Inner Regional Australia,23
2365,9.0,60,540,Male,Major Cities of Australia,18
2366,19.5,80,1170,Male,Inner Regional Australia,88
2367,15.566666666666666,80,934,Female,Major Cities of Australia,93
2368,15.833333333333334,110,950,Female,Very Remote Australia,21
2369,17.833333333333332,50,1070,Male,Major Cities of Australia,18
2370,8.5,50,510,Male,Major Cities of Australia,17
2371,21.916666666666668,50,1315,Female,Major Cities of Australia,81
2372,21.916666666666668,50,1315,Male,Major Cities of Australia,83
2373,17.916666666666668,80,1075,Female,Very Remote Australia,26
2374,20.666666666666668,60,1240,Male,Major Cities of Australia,17
2375,14.166666666666666,70,850,Male,Major Cities of Australia,30
2376,11.666666666666666,110,700,Male,Inner Regional Australia,26
2377,12.416666666666666,100,745,Male,Inner Regional Australia,53
2378,16.0,110,960,Male,Outer Regional Australia,59
2379,11.083333333333334,110,665,Male,Major Cities of Australia,51
2380,12.0,80,720,Male,Outer Regional Australia,43
2381,14.0,100,840,Female,Inner Regional Australia,47
2382,1.5833333333333333,50,95,Male,Inner Regional Australia,23
2383,20.0,80,1200,Male,Inner Regional Australia,18
2384,14.75,100,885,Male,Inner Regional Australia,50
2385,11.666666666666666,110,700,Male,Inner Regional Australia,64
2386,12.0,100,720,Female,Inner Regional Australia,63
2387,21.1,60,1266,Male,Major Cities of Australia,23
2388,15.95,50,957,Female,Major Cities of Australia,52
2389,7.833333333333333,90,470,Female,Inner Regional Australia,68
2390,13.0,100,780,Female,Inner Regional Australia,69
2391,9.0,80,540,Male,Inner Regional Australia,66
2392,14.0,80,840,Male,Inner Regional Australia,71
2393,13.5,80,810,Male,Inner Regional Australia,71
2394,15.433333333333334,40,926,Male,Major Cities of Australia,68
2395,13.0,80,780,Female,Inner Regional Australia,74
2396,16.0,100,960,Male,Inner Regional Australia,77
2397,7.416666666666667,60,445,Male,Major Cities of Australia,84
2398,1.0,110,60,Male,Major Cities of Australia,33
2399,14.0,100,840,Female,Major Cities of Australia,78
2400,2.8333333333333335,80,170,Male,Remote Australia,27
2401,9.0,100,540,Male,Outer Regional Australia,90
2402,18.0,100,1080,Male,Inner Regional Australia,58
2403,19.483333333333334,110,1169,Male,Remote Australia,61
2404,15.85,80,951,Male,Inner Regional Australia,89
2405,14.383333333333333,60,863,Male,Outer Regional Australia,85
2407,22.833333333333332,60,1370,Male,Inner Regional Australia,25
2408,21.766666666666666,80,1306,Female,Major Cities of Australia,20
2409,18.916666666666668,50,1135,Male,Major Cities of Australia,45
2410,18.0,60,1080,Male,Inner Regional Australia,45
2411,12.066666666666666,60,724,Male,Major Cities of Australia,82
2412,22.783333333333335,70,1367,Male,Major Cities of Australia,47
2413,18.0,60,1080,Male,Inner Regional Australia,58
2414,16.083333333333332,70,965,Male,Major Cities of Australia,20
2415,20.0,60,1200,Male,Inner Regional Australia,76
2416,10.0,25,600,Female,Major Cities of Australia,31
2417,12.166666666666666,50,730,Male,Inner Regional Australia,76
2418,12.883333333333333,40,773,Male,Major Cities of Australia,88
2419,8.0,40,480,Female,Major Cities of Australia,81
2420,20.833333333333332,70,1250,Male,Major Cities of Australia,18
2421,0.3333333333333333,110,20,Male,Inner Regional Australia,34
2422,23.7,80,1422,Male,Major Cities of Australia,25
2423,21.666666666666668,90,1300,Male,Inner Regional Australia,34
2424,3.5,100,210,Female,Inner Regional Australia,22
2425,3.5,100,210,Male,Inner Regional Australia,21
2426,2.6666666666666665,60,160,Male,Major Cities of Australia,63
2427,22.5,50,1350,Male,Major Cities of Australia,51
2428,21.416666666666668,50,1285,Male,Major Cities of Australia,48
2429,2.0833333333333335,100,125,Male,Outer Regional Australia,60
2430,23.733333333333334,110,1424,Male,Remote Australia,51
2431,0.0,50,0,Male,Major Cities of Australia,19
2432,10.0,100,600,Male,Outer Regional Australia,25
2433,16.0,60,960,Male,Major Cities of Australia,25
2434,18.0,80,1080,Male,Inner Regional Australia,18
2435,16.1,100,966,Male,Inner Regional Australia,30
2436,17.833333333333332,100,1070,Male,Inner Regional Australia,6
2437,16.833333333333332,80,1010,Male,Inner Regional Australia,22
2438,18.0,90,1080,Male,Inner Regional Australia,33
2439,13.0,70,780,Male,Major Cities of Australia,31
2440,9.833333333333334,80,590,Male,Inner Regional Australia,27
2441,15.666666666666666,100,940,Male,Inner Regional Australia,26
2442,4.0,100,240,Male,Major Cities of Australia,28
2443,8.0,50,480,Male,Inner Regional Australia,34
2444,10.0,100,600,Female,Outer Regional Australia,56
2445,7.0,100,420,Male,Outer Regional Australia,53
2446,0.3,60,18,Male,Major Cities of Australia,28
2447,11.0,60,660,Female,Inner Regional Australia,46
2448,16.683333333333334,80,1001,Male,Major Cities of Australia,40
2449,15.75,70,945,Female,Major Cities of Australia,72
2450,0.016666666666666666,110,1,Male,Remote Australia,56
2451,8.666666666666666,70,520,Female,Major Cities of Australia,79
2452,9.0,100,540,Male,Outer Regional Australia,60
2453,16.35,50,981,Male,Outer Regional Australia,52
2454,15.0,100,900,Male,Inner Regional Australia,16
2455,19.0,100,1140,Male,Very Remote Australia,72
2456,14.933333333333334,80,896,Female,Inner Regional Australia,29
2457,15.483333333333333,80,929,Male,Inner Regional Australia,24
2458,15.0,100,900,Male,Inner Regional Australia,19
2459,8.283333333333333,80,497,Male,Major Cities of Australia,22
2460,17.116666666666667,110,1027,Male,Very Remote Australia,22
2461,7.0,100,420,Male,Very Remote Australia,26
2462,7.0,100,420,Male,Very Remote Australia,33
2463,6.116666666666666,100,367,Male,Very Remote Australia,36
2464,17.0,60,1020,Male,Major Cities of Australia,28
2465,14.333333333333334,100,860,Male,Inner Regional Australia,46
2466,8.783333333333333,110,527,Male,Remote Australia,43
2467,6.5,110,390,Male,Inner Regional Australia,48
2468,12.0,110,720,Male,Inner Regional Australia,46
2469,16.666666666666668,110,1000,Male,Very Remote Australia,42
2470,16.0,80,960,Male,Inner Regional Australia,50
2471,6.333333333333333,50,380,Male,Inner Regional Australia,52
2472,16.766666666666666,80,1006,Female,Outer Regional Australia,51
2473,11.333333333333334,60,680,Female,Major Cities of Australia,58
2474,11.333333333333334,60,680,Male,Major Cities of Australia,64
2475,6.666666666666667,80,400,Male,Major Cities of Australia,49
2476,11.833333333333334,110,710,Female,Outer Regional Australia,67
2477,4.416666666666667,80,265,Male,Major Cities of Australia,27
2478,9.25,80,555,Male,Inner Regional Australia,90
2479,18.0,70,1080,Male,Inner Regional Australia,33
2480,0.08333333333333333,100,5,Male,Inner Regional Australia,38
2481,14.583333333333334,100,875,Male,Outer Regional Australia,86
2482,16.25,80,975,Male,Inner Regional Australia,87
2483,17.583333333333332,50,1055,Female,Major Cities of Australia,78
2484,15.0,100,900,Male,Outer Regional Australia,84
2485,23.833333333333332,100,1430,Male,Inner Regional Australia,51
2486,11.0,100,660,Female,Inner Regional Australia,75
2487,5.0,100,300,Male,Inner Regional Australia,52
2488,15.833333333333334,60,950,Female,Inner Regional Australia,86
2489,4.75,50,285,Female,Outer Regional Australia,43
2490,12.166666666666666,50,730,Female,Inner Regional Australia,1
2491,0.6666666666666666,80,40,Male,Major Cities of Australia,26
2492,17.5,60,1050,Female,Major Cities of Australia,81
2493,17.75,50,1065,Male,Major Cities of Australia,88
2494,16.283333333333335,80,977,Male,Major Cities of Australia,14
2495,13.933333333333334,60,836,Female,Major Cities of Australia,75
2496,18.833333333333332,60,1130,Male,Major Cities of Australia,80
2497,23.5,110,1410,Male,Outer Regional Australia,49
2498,3.25,50,195,Male,Inner Regional Australia,37
2499,18.933333333333334,50,1136,Female,Major Cities of Australia,29
2500,19.583333333333332,60,1175,Male,Major Cities of Australia,61
2501,5.533333333333333,60,332,Female,Major Cities of Australia,72
2502,18.0,60,1080,Female,Major Cities of Australia,92
2503,18.35,50,1101,Female,Inner Regional Australia,95
2504,23.0,100,1380,Male,Outer Regional Australia,62
2505,0.75,100,45,Male,Inner Regional Australia,22
2506,1.3333333333333333,110,80,Male,Very Remote Australia,23
2507,1.5,60,90,Male,Inner Regional Australia,25
2508,19.5,100,1170,Female,Outer Regional Australia,34
2509,5.05,110,303,Male,Remote Australia,20
2510,19.583333333333332,100,1175,Male,Inner Regional Australia,37
2511,1.1833333333333333,50,71,Male,Major Cities of Australia,35
2512,3.0,60,180,Male,Outer Regional Australia,19
2513,5.916666666666667,60,355,Male,Inner Regional Australia,22
2514,20.0,110,1200,Male,Very Remote Australia,35
2515,23.066666666666666,110,1384,Male,Major Cities of Australia,28
2516,21.383333333333333,80,1283,Male,Inner Regional Australia,42
2517,0.5,110,30,Male,Inner Regional Australia,47
2518,0.5,110,30,Male,Inner Regional Australia,47
2519,19.666666666666668,40,1180,Male,Major Cities of Australia,48
2520,22.25,110,1335,Male,Very Remote Australia,65
2521,20.0,50,1200,Male,Major Cities of Australia,25
2522,1.3333333333333333,110,80,Male,Outer Regional Australia,44
2523,17.166666666666668,100,1030,Male,Inner Regional Australia,25
2524,14.666666666666666,110,880,Female,Remote Australia,4
2525,12.916666666666666,100,775,Male,Inner Regional Australia,21
2526,18.25,110,1095,Male,Outer Regional Australia,22
2527,12.0,70,720,Male,Major Cities of Australia,56
2528,12.0,70,720,Male,Major Cities of Australia,22
2529,8.45,100,507,Female,Outer Regional Australia,17
2530,2.0,50,120,Male,Remote Australia,31
2531,12.333333333333334,100,740,Male,Outer Regional Australia,59
2532,5.75,100,345,Male,Outer Regional Australia,28
2533,8.0,100,480,Male,Inner Regional Australia,60
2534,8.0,100,480,Female,Inner Regional Australia,62
2535,8.0,100,480,Female,Inner Regional Australia,63
2536,17.0,100,1020,Male,Inner Regional Australia,68
2537,16.366666666666667,80,982,Female,Major Cities of Australia,71
2538,11.0,110,660,Male,Remote Australia,79
2539,17.083333333333332,50,1025,Male,Major Cities of Australia,37
2540,16.75,60,1005,Male,Major Cities of Australia,30
2541,10.0,100,600,Female,Outer Regional Australia,16
2542,12.183333333333334,60,731,Male,Inner Regional Australia,18
2543,6.333333333333333,110,380,Male,Outer Regional Australia,46
2544,7.283333333333333,100,437,Male,Outer Regional Australia,56
2545,6.716666666666667,70,403,Male,Major Cities of Australia,20
2546,18.75,110,1125,Male,Remote Australia,74
2547,6.783333333333333,80,407,Male,Inner Regional Australia,24
2548,13.5,100,810,Male,Inner Regional Australia,52
2549,15.516666666666667,50,931,Male,Major Cities of Australia,93
2550,16.333333333333332,100,980,Male,Inner Regional Australia,62
2551,20.833333333333332,110,1250,Male,Inner Regional Australia,76
2552,15.166666666666666,110,910,Male,Inner Regional Australia,39
2553,6.966666666666667,110,418,Male,Remote Australia,27
2554,15.0,100,900,Male,Remote Australia,34
2555,15.0,100,900,Female,Remote Australia,37
2556,14.25,80,855,Male,Major Cities of Australia,34
2557,14.2,90,852,Female,Major Cities of Australia,54
2558,9.25,80,555,Male,Outer Regional Australia,45
2559,3.0,100,180,Male,Outer Regional Australia,29
2560,15.5,130,930,Female,Very Remote Australia,57
2561,14.0,70,840,Female,Inner Regional Australia,50
2562,14.0,100,840,Male,Outer Regional Australia,62
2563,23.583333333333332,80,1415,Male,Inner Regional Australia,49
2564,6.383333333333334,100,383,Male,Inner Regional Australia,52
2565,13.0,100,780,Male,Outer Regional Australia,70
2566,14.233333333333333,110,854,Male,Inner Regional Australia,74
2567,14.2,90,852,Male,Major Cities of Australia,70
2568,6.733333333333333,110,404,Male,Outer Regional Australia,69
2569,6.75,60,405,Male,Major Cities of Australia,86
2570,19.0,100,1140,Male,Very Remote Australia,23
2571,10.616666666666667,20,637,Female,Major Cities of Australia,89
2572,19.5,100,1170,Male,Inner Regional Australia,30
2573,8.95,10,537,Male,Major Cities of Australia,90
2574,4.333333333333333,60,260,Male,Major Cities of Australia,44
2575,14.5,80,870,Male,Outer Regional Australia,76
2576,16.833333333333332,100,1010,Male,Outer Regional Australia,90
2577,14.416666666666666,100,865,Male,Outer Regional Australia,85
2579,21.666666666666668,60,1300,Female,Major Cities of Australia,15
2580,23.333333333333332,100,1400,Male,Inner Regional Australia,39
2581,22.25,50,1335,Female,Inner Regional Australia,58
2582,10.75,50,645,Male,Outer Regional Australia,99
2583,0.0,50,0,Male,Inner Regional Australia,20
2584,6.666666666666667,100,400,Male,Outer Regional Australia,62
2585,15.766666666666667,60,946,Male,Major Cities of Australia,83
2586,9.0,70,540,Male,Inner Regional Australia,65
2587,19.5,70,1170,Male,Major Cities of Australia,62
2588,12.0,50,720,Female,Major Cities of Australia,87
2589,18.0,100,1080,Male,Inner Regional Australia,75
2590,21.633333333333333,80,1298,Male,Inner Regional Australia,24
2592,17.5,60,1050,Male,Major Cities of Australia,88
2593,14.916666666666666,60,895,Male,Inner Regional Australia,95
2594,10.333333333333334,50,620,Male,Major Cities of Australia,44
2595,20.083333333333332,60,1205,Male,Major Cities of Australia,26
2596,21.233333333333334,110,1274,Male,Remote Australia,58
2597,19.516666666666666,60,1171,Male,Major Cities of Australia,21
2598,2.5,100,150,Male,Outer Regional Australia,19
2599,21.983333333333334,50,1319,Male,Major Cities of Australia,28
2600,18.816666666666666,60,1129,Male,Inner Regional Australia,30
2601,18.083333333333332,100,1085,Male,Outer Regional Australia,43
2602,23.8,100,1428,Male,Outer Regional Australia,21
2603,23.8,100,1428,Male,Outer Regional Australia,7
2604,0.016666666666666666,80,1,Male,Inner Regional Australia,22
2605,20.666666666666668,60,1240,Male,Outer Regional Australia,21
2606,23.25,80,1395,Female,Major Cities of Australia,18
2607,23.25,80,1395,Male,Major Cities of Australia,22
2608,18.25,100,1095,Male,Inner Regional Australia,30
2609,21.283333333333335,60,1277,Male,Major Cities of Australia,26
2610,4.5,100,270,Male,Remote Australia,18
2611,18.166666666666668,90,1090,Male,Major Cities of Australia,62
2612,1.0,50,60,Male,Very Remote Australia,57
2613,15.75,60,945,Male,Inner Regional Australia,31
2614,6.816666666666666,110,409,Male,Remote Australia,41
2615,0.25,100,15,Male,Inner Regional Australia,19
2616,12.0,60,720,Male,Inner Regional Australia,49
2617,0.0,60,0,Male,Major Cities of Australia,23
2618,22.0,80,1320,Male,Major Cities of Australia,20
2619,16.083333333333332,100,965,Male,Outer Regional Australia,59
2620,7.633333333333334,100,458,Male,Inner Regional Australia,15
2621,22.0,110,1320,Male,Major Cities of Australia,28
2622,1.0,80,60,Male,Major Cities of Australia,32
2623,8.583333333333334,110,515,Female,Outer Regional Australia,17
2624,17.0,100,1020,Female,Inner Regional Australia,25
2625,17.0,100,1020,Male,Inner Regional Australia,19
2626,17.5,110,1050,Male,Outer Regional Australia,23
2627,9.0,70,540,Male,Inner Regional Australia,23
2628,2.316666666666667,70,139,Male,Major Cities of Australia,27
2629,8.583333333333334,100,515,Male,Outer Regional Australia,64
2630,0.0,60,0,Male,Major Cities of Australia,32
2631,9.0,50,540,Male,Major Cities of Australia,49
2632,12.5,80,750,Male,Outer Regional Australia,58
2633,11.0,110,660,Male,Very Remote Australia,63
2634,11.583333333333334,60,695,Female,Major Cities of Australia,40
2635,15.916666666666666,100,955,Male,Inner Regional Australia,82
2636,15.566666666666666,60,934,Male,Major Cities of Australia,88
2637,23.333333333333332,80,1400,Female,Major Cities of Australia,56
2638,13.916666666666666,100,835,Male,Inner Regional Australia,41
2639,16.633333333333333,70,998,Male,Major Cities of Australia,29
2640,14.0,70,840,Male,Major Cities of Australia,14
2641,12.266666666666667,80,736,Male,Outer Regional Australia,25
2642,10.7,110,642,Female,Outer Regional Australia,77
2643,8.0,100,480,Male,Inner Regional Australia,24
2644,8.0,100,480,Female,Inner Regional Australia,23
2645,15.0,100,900,Male,Inner Regional Australia,20
2646,15.166666666666666,100,910,Female,Outer Regional Australia,56
2647,15.166666666666666,100,910,Female,Outer Regional Australia,73
2648,15.166666666666666,100,910,Male,Outer Regional Australia,73
2649,14.316666666666666,100,859,Male,Outer Regional Australia,20
2650,8.083333333333334,70,485,Male,Major Cities of Australia,47
2651,16.0,100,960,Female,Inner Regional Australia,20
2652,16.016666666666666,110,961,Female,Inner Regional Australia,18
2653,15.0,60,900,Male,Outer Regional Australia,31
2655,13.416666666666666,100,805,Male,Outer Regional Australia,32
2656,13.833333333333334,90,830,Male,Inner Regional Australia,27
2657,7.416666666666667,60,445,Female,Major Cities of Australia,50
2658,10.5,100,630,Male,Very Remote Australia,59
2659,10.566666666666666,50,634,Male,Major Cities of Australia,41
2660,11.55,100,693,Female,Outer Regional Australia,64
2661,17.0,100,1020,Female,Inner Regional Australia,63
2662,13.0,50,780,Male,Inner Regional Australia,43
2663,13.333333333333334,70,800,Male,Outer Regional Australia,47
2664,11.0,100,660,Male,Inner Regional Australia,62
2665,16.416666666666668,50,985,Male,Inner Regional Australia,69
2666,16.5,50,990,Male,Major Cities of Australia,66
2667,12.25,100,735,Male,Outer Regional Australia,66
2668,10.0,100,600,Female,Inner Regional Australia,69
2669,17.333333333333332,110,1040,Male,Outer Regional Australia,74
2670,17.0,100,1020,Male,Inner Regional Australia,74
2672,0.08333333333333333,80,5,Female,Outer Regional Australia,42
2673,1.25,100,75,Male,Major Cities of Australia,42
2674,10.0,100,600,Male,Remote Australia,78
2675,22.0,100,1320,Female,Outer Regional Australia,30
2676,16.75,110,1005,Male,Outer Regional Australia,75
2677,5.85,80,351,Male,Major Cities of Australia,36
2678,9.0,50,540,Male,Major Cities of Australia,90
2679,11.083333333333334,50,665,Female,Major Cities of Australia,83
2680,16.266666666666666,60,976,Male,Major Cities of Australia,91
2681,14.45,60,867,Female,Outer Regional Australia,79
2682,7.133333333333334,80,428,Female,Major Cities of Australia,75
2683,13.5,80,810,Female,Major Cities of Australia,85
2684,13.5,80,810,Male,Major Cities of Australia,86
2685,22.666666666666668,110,1360,Male,Major Cities of Australia,46
2686,4.5,100,270,Male,Inner Regional Australia,63
2687,19.583333333333332,80,1175,Female,Major Cities of Australia,45
2688,17.766666666666666,50,1066,Male,Inner Regional Australia,20
2689,17.833333333333332,60,1070,Female,Major Cities of Australia,73
